timestep,reward
1,-0.302
135,-0.667
266,-0.615
409,-0.635
547,-0.533
686,-0.577
828,-0.512
971,-0.45
1106,-0.403
1246,-0.307
1372,-0.15
1512,-0.156
1644,-0.168
1787,-0.167
1911,-0.168
2047,-0.125
2192,-0.174
2317,-0.113
2460,-0.167
2592,-0.172
2722,-0.12
2862,-0.106
2994,-0.109
3124,-0.105
3264,-0.074
3390,-0.131
3531,-0.06
3671,-0.091
3810,-0.147
3944,-0.021
4084,-0.119
4221,-0.093
4362,-0.074
4507,-0.101
4646,-0.091
4789,-0.054
4921,-0.007
5061,-0.066
5204,-0.076
5337,-0.11
5483,-0.06
5615,-0.099
5756,-0.101
5890,-0.061
6025,-0.038
6176,-0.143
6313,-0.087
6456,-0.044
6588,-0.111
6728,-0.103
6858,-0.049
6989,-0.127
7132,-0.07
7265,-0.119
7402,-0.129
7544,-0.054
7676,-0.094
7815,-0.032
7958,-0.103
8094,-0.073
8230,-0.065
8371,-0.102
8503,-0.116
8647,-0.092
8783,-0.1
8932,-0.076
9069,-0.066
9210,-0.052
9341,-0.055
9472,-0.081
9615,-0.158
9747,-0.068
9874,-0.107
10010,-0.065
10138,-0.069
10283,-0.146
10428,-0.034
10563,-0.092
10715,-0.076
10859,-0.029
11001,-0.102
11139,-0.096
11287,-0.091
11426,-0.018
11572,-0.076
11713,-0.059
11853,-0.103
11992,-0.037
12130,-0.027
12266,-0.099
12412,-0.085
12560,-0.078
12701,-0.049
12831,-0.035
12975,-0.071
13115,-0.046
13259,-0.083
13400,-0.052
13550,-0.002
13690,-0.075
