timestep,reward
1,-0.302
135,-0.667
266,-0.615
409,-0.635
547,-0.533
686,-0.577
828,-0.512
971,-0.45
1106,-0.403
1246,-0.307
1372,-0.15
1512,-0.156
1644,-0.168
1787,-0.167
1911,-0.168
2047,-0.125
2192,-0.174
2317,-0.113
2460,-0.167
2592,-0.172
2722,-0.12
2862,-0.106
2994,-0.109
3124,-0.105
3264,-0.074
3390,-0.131
3531,-0.06
3671,-0.091
3810,-0.147
3944,-0.021
4084,-0.119
4221,-0.093
4362,-0.074
4507,-0.101
4646,-0.091
4789,-0.054
4921,-0.007
5061,-0.066
5204,-0.076
5337,-0.11
5483,-0.06
5615,-0.099
5756,-0.101
5890,-0.061
6025,-0.038
6176,-0.143
6313,-0.087
6456,-0.044
6588,-0.111
6728,-0.103
6858,-0.049
6989,-0.127
7132,-0.07
7265,-0.119
7402,-0.129
7544,-0.054
7676,-0.094
7815,-0.032
7958,-0.103
8094,-0.073
8230,-0.065
8371,-0.102
8503,-0.116
8647,-0.092
8783,-0.1
8932,-0.076
9069,-0.066
9210,-0.052
9341,-0.055
9472,-0.081
9615,-0.158
9747,-0.068
9874,-0.107
10010,-0.065
10138,-0.069
10283,-0.146
10428,-0.034
10563,-0.092
10715,-0.076
10859,-0.029
11001,-0.102
11139,-0.096
11287,-0.091
11426,-0.018
11572,-0.076
11713,-0.059
11853,-0.103
11992,-0.037
12130,-0.027
12266,-0.099
12412,-0.085
12560,-0.078
12701,-0.049
12831,-0.035
12975,-0.071
13115,-0.046
13259,-0.083
13400,-0.052
13550,-0.002
13690,-0.075
13832,-0.055
13971,-0.041
14107,-0.066
14248,-0.04
14389,-0.092
14538,-0.1
14682,-0.078
14835,-0.135
14977,-0.09
15117,-0.073
15257,-0.102
15392,-0.068
15536,-0.05
15681,-0.082
15825,-0.092
15982,-0.127
16120,-0.03
16257,-0.124
16396,-0.068
16542,-0.013
16691,-0.116
16832,-0.031
16971,-0.058
17122,0.016
17261,-0.113
17399,-0.075
17538,-0.078
17674,-0.045
17818,-0.061
17963,-0.039
18109,-0.103
18264,-0.092
18406,-0.105
18553,-0.053
18684,-0.12
18826,-0.079
18978,-0.099
19121,-0.093
19265,-0.076
19407,-0.09
19544,-0.056
19680,-0.071
19814,-0.106
19956,-0.066
20099,-0.096
20241,-0.076
20385,-0.033
20525,-0.071
20665,-0.015
20802,-0.065
20945,-0.066
21084,-0.018
21229,-0.046
21370,-0.034
21518,-0.091
21657,-0.084
21804,-0.025
21958,-0.064
22114,-0.115
22263,-0.088
22408,-0.085
22557,-0.071
22699,-0.087
22849,-0.033
22996,-0.083
23140,-0.129
23285,-0.061
23426,-0.092
23572,-0.092
23719,-0.079
23859,-0.08
24002,-0.031
24154,-0.066
24295,-0.103
24437,-0.099
24579,-0.082
24729,-0.083
24871,-0.026
25022,-0.105
25176,-0.072
25328,-0.041
25468,-0.066
25613,-0.079
25763,-0.09
25907,-0.064
26048,-0.09
26187,-0.09
26345,-0.098
26487,-0.042
26640,-0.099
26786,-0.087
26925,-0.038
27072,-0.108
27213,-0.107
27353,-0.069
27503,-0.052
27639,-0.035
27779,-0.053
27930,-0.076
28079,-0.078
28229,-0.095
28381,-0.129
28534,-0.057
28683,-0.099
28825,-0.117
28980,-0.063
29138,-0.06
29287,-0.046
29421,-0.157
29577,-0.07
29723,-0.046
29872,-0.081
30023,-0.059
30178,-0.048
30345,-0.092
30491,-0.061
30639,-0.046
30773,-0.033
30914,-0.029
31064,-0.109
31207,-0.076
31351,-0.09
31506,-0.046
31652,-0.038
31808,-0.031
31955,-0.052
32096,-0.13
32244,-0.066
32384,-0.065
32528,-0.118
32672,-0.09
32829,-0.04
32987,-0.062
33140,-0.075
33297,-0.027
33455,-0.083
33608,-0.086
33758,-0.073
33901,-0.068
34049,-0.11
34202,-0.16
34350,-0.102
34500,-0.065
34649,-0.046
34804,-0.096
34954,-0.079
35102,-0.052
35260,-0.054
35401,-0.025
35552,-0.03
35707,-0.05
35854,-0.028
36002,-0.089
36154,-0.09
36298,-0.084
36449,-0.041
36608,-0.108
36759,-0.067
36898,-0.115
37054,-0.081
37225,-0.075
37378,-0.089
37526,-0.075
37680,-0.129
37828,-0.087
37987,-0.092
38149,-0.072
38313,-0.069
38455,-0.112
38600,-0.067
38756,-0.066
38916,-0.072
39070,-0.075
39229,-0.12
39381,-0.126
39535,-0.051
39684,-0.081
39850,-0.017
40003,-0.077
40153,-0.078
40303,-0.062
40459,-0.005
40625,-0.052
40787,-0.084
40937,-0.06
41090,-0.051
41252,-0.077
41402,-0.065
41548,-0.066
41699,-0.035
41856,-0.059
42014,-0.104
42173,-0.092
42327,-0.058
42481,-0.051
42637,-0.047
42780,-0.108
42932,-0.055
43092,-0.075
43248,-0.067
43400,-0.097
43547,-0.082
43714,-0.113
43870,-0.042
44029,-0.089
44189,-0.063
44343,-0.045
44497,-0.065
44645,-0.064
44796,-0.088
44951,-0.08
45101,-0.003
45268,-0.064
45415,-0.07
45570,-0.043
45717,-0.113
45877,-0.059
46035,-0.049
46202,-0.046
46360,-0.075
46512,-0.158
46662,-0.064
46826,-0.125
46980,-0.072
47150,-0.093
47291,-0.065
47452,-0.115
47606,-0.064
47766,-0.113
47913,-0.059
48076,0.004
48236,-0.112
48403,-0.059
48558,-0.028
48717,-0.082
48864,-0.11
49021,-0.063
49174,-0.088
49321,-0.145
49480,-0.067
49639,-0.103
49797,-0.087
49963,-0.108
50112,0.005
50271,-0.062
50414,-0.047
50562,-0.075
50717,-0.105
50875,-0.068
51035,-0.075
51186,-0.064
51345,-0.029
51502,-0.049
51656,-0.027
51818,-0.032
51978,-0.096
52142,-0.066
52301,-0.042
52458,-0.035
52604,-0.073
52771,-0.078
52926,-0.067
53082,-0.059
53233,-0.028
53391,-0.127
53547,-0.123
53709,-0.06
53860,-0.063
54015,-0.087
54159,-0.017
54311,-0.075
54463,-0.063
54630,-0.038
54785,-0.087
54934,-0.09
55101,-0.078
55265,-0.04
55435,-0.124
55593,-0.026
55747,-0.041
55900,-0.013
56083,-0.085
56245,-0.149
56410,0.002
56561,-0.083
56709,-0.05
56848,-0.08
57001,-0.024
57147,-0.012
57305,-0.052
57451,-0.093
57607,-0.014
57760,-0.051
57917,-0.079
58071,-0.08
58223,-0.18
58382,-0.086
58541,-0.12
58699,-0.047
58853,-0.049
59010,-0.095
59171,-0.09
59325,-0.07
59481,-0.06
59636,-0.104
59795,-0.095
59958,-0.031
60112,-0.097
60264,-0.057
60419,-0.145
60573,-0.005
60727,-0.11
60872,-0.029
61035,-0.06
61189,-0.074
61355,0.011
61505,-0.09
61663,-0.083
61809,-0.064
61960,-0.03
62114,-0.061
62271,-0.122
62431,-0.083
62581,-0.09
62728,-0.085
62874,-0.089
63039,-0.045
63186,-0.03
63345,-0.058
63503,-0.047
63658,-0.034
63807,-0.051
63954,-0.069
64108,-0.044
64250,-0.039
64405,-0.048
64572,-0.087
64717,-0.083
64859,-0.08
65023,-0.071
65189,-0.088
65344,-0.029
65492,-0.073
65648,-0.091
65797,-0.066
65942,-0.072
66090,-0.13
66254,-0.092
66401,-0.104
66551,-0.064
66713,-0.063
66871,-0.084
67024,-0.119
67177,-0.069
67312,-0.049
67455,-0.083
67597,-0.05
67746,-0.142
67905,-0.089
68061,-0.015
68211,-0.061
68362,-0.079
68523,-0.096
68678,-0.062
