timestep,reward
40,-0.032
3961,0.056
7567,0.062
11782,0.004
16787,0.058
22015,0.002
26469,0.022
30884,-0.026
35246,0.006
40304,-0.032
45344,0.036
49792,0.03
54106,0.03
58794,-0.02
63792,0.07
68446,0.038
73769,-0.038
78798,0.03
83792,0.034
88497,0.016
92606,0.02
97973,0.014
102795,-0.018
107361,-0.048
111627,-0.06
116344,0.052
120744,-0.018
125562,0.052
129919,0.036
134570,0.026
139111,0.004
143768,0.068
147520,0.028
152173,0.038
157116,0.008
161284,0.006
165507,0.046
169999,0.1
174751,0.066
179281,0.036
183501,0.006
188035,0.038
192695,0.052
197614,0.062
202293,0.062
206831,0.002
211007,-0.02
215583,0.0
220247,0.104
225112,0.06
230328,0.06
234984,-0.01
239668,0.046
244830,0.042
248826,0.008
253925,0.062
258553,0.072
263313,0.042
267503,0.036
272548,0.02
277340,0.006
281880,0.076
287305,0.022
291569,0.056
295635,0.032
300010,0.028
305000,0.046
310187,0.038
314339,0.084
318600,0.026
323284,0.058
327164,0.042
331791,0.03
336688,-0.014
341283,-0.01
345258,-0.012
349400,0.046
354068,-0.008
358839,0.026
363478,0.028
367898,0.06
372201,-0.006
376665,0.052
381093,0.01
385692,0.036
390305,0.03
395287,0.022
400595,-0.004
404815,0.002
409706,-0.004
414061,0.006
418449,0.058
422813,0.03
426998,0.038
431781,0.064
436347,0.018
440974,0.042
445349,0.076
449601,-0.046
454199,0.022
