timestep,reward
72,0.02
4820,0.08
9583,0.048
14570,0.03
19497,0.048
24038,-0.008
28425,-0.046
33464,-0.044
37735,0.002
42442,0.0
46505,0.006
50987,0.0
55555,0.04
60532,0.032
65616,0.0
69826,-0.016
74973,-0.028
79522,-0.044
84657,-0.05
89411,-0.026
93427,-0.02
98434,-0.044
103389,0.0
108465,0.016
112693,0.004
116854,-0.004
121361,0.002
125433,-0.036
130375,0.006
135529,-0.034
140042,-0.062
144759,0.042
149551,-0.046
153694,0.03
158487,-0.032
162866,-0.044
168068,0.002
172650,-0.034
177142,-0.038
181328,-0.008
186238,-0.01
190412,-0.04
194911,-0.004
199776,-0.02
204618,-0.046
208911,-0.036
213632,-0.028
218209,0.008
222656,-0.082
227326,-0.04
231865,-0.012
236758,-0.026
241556,0.018
245958,-0.012
250137,0.002
254770,0.006
259676,0.002
264539,-0.054
268738,-0.006
273724,-0.028
278559,0.004
283627,0.024
288683,-0.078
292618,-0.014
297479,-0.088
301742,0.016
306301,0.004
310440,-0.066
314908,-0.044
319712,-0.022
325292,-0.04
329621,-0.054
333967,-0.03
338276,-0.044
342971,-0.044
347323,-0.026
352063,-0.02
356769,-0.078
362431,0.036
367325,-0.028
371457,-0.03
375727,-0.004
380087,-0.018
384538,-0.036
389518,-0.02
393795,-0.026
398199,0.002
402694,-0.002
406861,-0.066
411310,-0.018
415986,-0.058
420871,0.038
425255,-0.06
429281,-0.01
433850,-0.056
438110,-0.056
442550,-0.02
447412,-0.022
452376,-0.046
456520,-0.046
