timestep,reward
46,0.066
4680,0.028
9591,-0.016
15240,-0.008
20191,0.028
24559,0.046
29412,0.06
34441,0.084
38916,0.014
43910,0.004
48417,0.022
52731,0.002
57288,0.1
62431,0.028
66740,0.022
71460,0.004
75874,-0.028
80030,0.048
84072,0.086
88376,0.026
92670,-0.03
97408,0.028
102211,0.058
106937,-0.008
111806,0.046
116972,0.06
121707,0.042
126146,0.022
130519,0.088
135140,-0.002
139880,0.066
144583,0.008
148617,0.008
153745,0.004
157711,0.036
162415,0.038
166473,0.072
170609,0.076
175012,-0.032
179765,0.058
183956,-0.004
189068,0.008
193736,0.046
198343,0.022
203323,0.088
208233,0.008
212617,0.022
217360,-0.008
222304,-0.016
227026,-0.014
231644,0.082
236683,0.02
241319,0.02
245752,0.046
250684,0.022
255074,0.01
259979,0.01
264879,0.03
269462,0.03
274143,0.04
278694,-0.04
283089,0.03
287100,-0.026
291938,0.03
296322,0.004
300481,0.054
305240,0.016
310740,0.054
315185,0.064
319908,0.07
324153,0.04
329156,0.038
333723,0.122
337860,0.09
342352,0.006
346987,0.09
352227,0.056
357139,0.016
362697,0.068
366857,0.042
371112,0.002
375846,0.024
380046,0.086
386335,0.048
391128,0.012
395531,0.026
399681,0.07
404331,-0.008
408798,0.02
413642,0.05
418173,0.01
422279,0.044
426850,0.032
431460,0.026
436416,0.01
441770,0.054
446351,0.076
450280,-0.012
455527,0.014
459717,0.014
